year,film,won_oscar,won_gg,won_bafta
1968,"Rachel, Rachel",False,False,False
1968,Romeo and Juliet,False,False,False
1969,Anne of the Thousand Days,False,True,False
1969,Butch Cassidy and the Sundance Kid,False,False,False
1969,"Hello, Dolly!",False,False,False
1969,Midnight Cowboy,True,False,True
1969,Z,False,False,False
1970,Airport,False,False,False
1970,Five Easy Pieces,False,False,False
1970,Love Story,False,True,False
1970,M*A*S*H,False,True,False
1970,Patton,True,False,False
1971,A Clockwork Orange,False,False,False
1971,Fiddler on the Roof,False,True,False
1971,The French Connection,True,True,False
1971,The Last Picture Show,False,False,False
1971,Nicholas and Alexandra,False,False,False
1972,Cabaret,False,True,True
1972,Deliverance,False,False,False
1972,The Emigrants,False,False,False
1972,The Godfather,True,True,False
1972,Sounder,False,False,False
1973,American Graffiti,False,True,False
1973,Cries and Whispers,False,False,False
1973,The Exorcist,False,True,False
1973,The Sting,True,False,False
1973,A Touch of Class,False,False,False
1974,Chinatown,False,True,False
1974,The Conversation,False,False,False
1974,The Godfather Part II,True,False,False
1974,Lenny,False,False,False
1974,The Towering Inferno,False,False,False
1975,Barry Lyndon,False,False,False
1975,Dog Day Afternoon,False,False,False
1975,Jaws,False,False,False
1975,Nashville,False,False,False
1975,One Flew over the Cuckoo's Nest,True,True,False
1976,All the President's Men,False,False,False
1976,Bound for Glory,False,False,False
1976,Network,False,False,False
1976,Rocky,True,True,False
1976,Taxi Driver,False,False,False
1977,Annie Hall,True,False,True
1977,The Goodbye Girl,False,True,False
1977,Julia,False,False,False
1977,Star Wars,False,False,False
1977,The Turning Point,False,True,False
1978,Coming Home,False,False,False
1978,The Deer Hunter,True,False,False
1978,Heaven Can Wait,False,True,False
1978,Midnight Express,False,True,False
1978,An Unmarried Woman,False,False,False
1979,All That Jazz,False,False,False
1979,Apocalypse Now,False,False,False
1979,Breaking Away,False,True,False
1979,Kramer vs. Kramer,True,True,False
1979,Norma Rae,False,False,False
1980,Coal Miner's Daughter,False,True,False
1980,The Elephant Man,False,False,True
1980,Ordinary People,True,True,False
1980,Raging Bull,False,False,False
1980,Tess,False,False,False
1981,Atlantic City,False,False,False
1981,Chariots of Fire,True,False,True
1981,On Golden Pond,False,True,False
1981,Raiders of the Lost Ark,False,False,False
1981,Reds,False,False,False
1982,E.T. The Extra-Terrestrial,False,False,False
1982,Gandhi,True,False,True
1982,Missing,False,False,False
1982,Tootsie,False,True,False
1982,The Verdict,False,False,False
1983,The Big Chill,False,False,False
1983,The Dresser,False,False,False
1983,The Right Stuff,False,False,False
1983,Tender Mercies,False,False,False
1983,Terms of Endearment,True,True,False
1984,Amadeus,True,True,False
1984,The Killing Fields,False,False,True
1984,A Passage to India,False,False,False
1984,Places in the Heart,False,False,False
1984,A Soldier's Story,False,False,False
1985,The Color Purple,False,False,False
1985,Kiss of the Spider Woman,False,False,False
1985,Out of Africa,True,True,False
1985,Prizzi's Honor,False,True,False
1985,Witness,False,False,False
1986,Children of a Lesser God,False,False,False
1986,Hannah and Her Sisters,False,True,False
1986,The Mission,False,False,False
1986,Platoon,True,True,False
1986,A Room with a View,False,False,True
1987,Broadcast News,False,False,False
1987,Fatal Attraction,False,False,False
1987,Hope and Glory,False,True,False
1987,The Last Emperor,True,True,False
1987,Moonstruck,False,False,False
1988,The Accidental Tourist,False,False,False
1988,Dangerous Liaisons,False,False,False
1988,Mississippi Burning,False,False,False
1988,Rain Man,True,True,False
1988,Working Girl,False,True,False
1989,Born on the Fourth of July,False,True,False
1989,Dead Poets Society,False,False,True
1989,Driving Miss Daisy,True,True,False
1989,Field of Dreams,False,False,False
1989,My Left Foot,False,False,False
1990,Awakenings,False,False,False
1990,Dances With Wolves,True,True,False
1990,Ghost,False,False,False
1990,"The Godfather, Part III",False,False,False
1990,Good Fellas,False,False,False
1991,Beauty and the Beast,False,True,False
1991,Bugsy,False,True,False
1991,JFK,False,False,False
1991,The Prince of Tides,False,False,False
1991,The Silence of the Lambs,True,False,False
1992,The Crying Game,False,False,False
1992,A Few Good Men,False,False,False
1992,Howards End,False,False,True
1992,Scent of a Woman,False,True,False
1992,Unforgiven,True,False,False
1993,The Fugitive,False,False,False
1993,In the Name of the Father,False,False,False
1993,The Piano,False,False,False
1993,The Remains of the Day,False,False,False
1993,Schindler's List,True,True,True
1994,Forrest Gump,True,True,False
1994,Four Weddings and a Funeral,False,False,True
1994,Pulp Fiction,False,False,False
1994,Quiz Show,False,False,False
1994,The Shawshank Redemption,False,False,False
1995,Apollo 13,False,False,False
1995,Babe,False,True,False
1995,Braveheart,True,False,False
1995,The Postman (Il Postino),False,False,False
1995,Sense and Sensibility,False,True,True
2000,Chocolat,False,False,False
2000,"Crouching Tiger, Hidden Dragon",False,False,False
2000,Erin Brockovich,False,False,False
2000,Gladiator,True,True,True
2000,Traffic,False,False,False
2015,The Big Short,False,False,False
2015,Bridge of Spies,False,False,False
2015,Brooklyn,False,False,False
2015,Mad Max: Fury Road,False,False,False
2015,The Martian,False,True,False
2015,The Revenant,False,True,True
2015,Room,False,False,False
2015,Spotlight,True,False,False
2016,Arrival,False,False,False
2016,Fences,False,False,False
2016,Hacksaw Ridge,False,False,False
2016,Hell or High Water,False,False,False
2016,Hidden Figures,False,False,False
2016,La La Land,False,True,True
2016,Lion,False,False,False
2016,Manchester by the Sea,False,False,False
2016,Moonlight,True,True,False
2017,Call Me by Your Name,False,False,False
2017,Darkest Hour,False,False,False
2017,Dunkirk,False,False,False
2017,Get Out,False,False,False
2017,Lady Bird,False,True,False
2017,Phantom Thread,False,False,False
2017,The Post,False,False,False
2017,The Shape of Water,True,False,False
2017,"Three Billboards outside Ebbing, Missouri",False,True,True
2018,Black Panther,False,False,False
2018,BlacKkKlansman,False,False,False
2018,Bohemian Rhapsody,False,True,False
2018,The Favourite,False,False,False
2018,Green Book,True,True,False
2018,Roma,False,False,True
2018,A Star Is Born,False,False,False
2018,Vice,False,False,False
2019,Ford v Ferrari,False,False,False
2019,The Irishman,False,False,False
2019,Jojo Rabbit,False,False,False
2019,Joker,False,False,False
2019,Little Women,False,False,False
2019,Marriage Story,False,False,False
2019,1917,False,True,True
2019,Once upon a Time...in Hollywood,False,True,False
2019,Parasite,True,False,False
